id;name
CEL 3747872;ВЫД-1
CEL 3747881;ВЫД-10
CEL 3747882;ВЫД-11
CEL 3747883;ВЫД-12
CEL 3747884;ВЫД-13
CEL 3747885;ВЫД-14
CEL 3747886;ВЫД-15
CEL 3747887;ВЫД-16
CEL 3747888;ВЫД-17
CEL 3747889;ВЫД-1212121222118
CEL 3747890;ВЫД-19
CEL 3747873;ВЫД-2
CEL 3747891;ВЫД-20
CEL 3747892;ВЫД-21
CEL 3747893;ВЫД-22
CEL 3747894;ВЫД-23
CEL 3747895;ВЫД-24
CEL 3747896;ВЫД-25
CEL 3747897;ВЫД-26
CEL 3747898;ВЫД-27
CEL 3747899;ВЫД-28
CEL 3747900;ВЫД-29
CEL 3747874;ВЫД-3
CEL 3747901;ВЫД-30
CEL 3747875;ВЫД-4
CEL 3747876;ВЫД-5
CEL 3747877;ВЫД-6
CEL 3747878;ВЫД-7
CEL 3747879;ВЫД-8
CEL 3747880;ВЫД-9
CEL 3747741;ВЫД(КГ)-1-2
CEL 3747742;ВЫД(КГ)-1-3
CEL 3747744;ВЫД(КГ)-2-2
CEL 3747750;ВЫД(КГ)-2-3
CEL 3747746;ВЫД(КГ)-2-4
CEL 3747747;ВЫД(КГ)-3-2
CEL 3747748;ВЫД(КГ)-3-3
CEL 3747749;ВЫД(КГ)-3-4
CEL 3747728;ВЫД(КГ)-ДЛ-1
CEL 3747751;ВЫД(КГ)-ДЛ-2
CEL 3747725;ВЫД(КГ)-Кор-1
CEL 3747726;ВЫД(КГ)-Кор-2
CEL 3747730;ВЫД(КГ)-Пал-1
CEL 3747760;ВЫД(КГ)-Пал-2
CEL 3747743;ВЫД(КГ)-Хим
CEL 3747731;ВЫД-Хим-1
CEL 3747732;ВЫД-Хим-2
CEL 3747733;ВЫД-Хим-3
CEL 3747734;ВЫД-Хим-4
CEL 3747735;ВЫД-Хим-5
